"Neighbourhood","Neighbourhood Id","Combined Indicators","After-Tax Household Income","Total Population"
"Wychwood",94.0,"N/A",50261.0,14349.0
"Annex",95.0,"N/A",49912.0,30526.0
"Casa Loma",96.0,"N/A",65574.0,10968.0
"Yonge-St.Clair",97.0,"N/A",58838.0,12528.0
"Rosedale-Moore Park",98.0,"N/A",72915.0,20923.0
"Mount Pleasant East",99.0,"N/A",71154.0,16775.0
"Yonge-Eglinton",100.0,"N/A",63267.0,11817.0
"Forest Hill South",101.0,"N/A",67446.0,10732.0
"Forest Hill North",102.0,"N/A",53978.0,12806.0
"Lawrence Park South",103.0,"N/A",105043.0,15179.0
"Mount Pleasant West",104.0,"N/A",48066.0,29658.0
"Lawrence Park North",105.0,"N/A",103660.0,14607.0
"Humewood-Cedarvale",106.0,"N/A",49252.0,14365.0
"Oakwood Village",107.0,"N/A",46349.0,21210.0
"Briar Hill-Belgravia",108.0,"N/A",48395.0,14257.0
"Caledonia-Fairbank",109.0,"N/A",51225.0,9955.0
"Keelesdale-Eglinton West",110.0,"N/A",45058.0,11058.0
"Rockcliffe-Smythe",111.0,"N/A",46154.0,22246.0
"Beechborough-Greenbrook",112.0,"N/A",37540.0,6577.0
"Weston",113.0,"N/A",41356.0,17992.0
"Lambton Baby Point",114.0,"N/A",58158.0,7985.0
"Mount Dennis",115.0,"N/A",43790.0,13593.0
"Steeles",116.0,"N/A",55755.0,24623.0
"L'Amoreaux",117.0,"N/A",49769.0,43993.0
"Tam O'Shanter-Sullivan",118.0,"N/A",46095.0,27446.0
"Wexford/Maryvale",119.0,"N/A",53752.0,27917.0
"Clairlea-Birchmount",120.0,"N/A",53716.0,26984.0
"Oakridge",121.0,"N/A",32079.0,13845.0
"Birchcliffe-Cliffside",122.0,"N/A",57017.0,22291.0
"Cliffcrest",123.0,"N/A",60384.0,15935.0
"Kennedy Park",124.0,"N/A",41776.0,17123.0
"Ionview",125.0,"N/A",42971.0,13641.0
"Dorset Park",126.0,"N/A",47630.0,25003.0
"Bendale",127.0,"N/A",51254.0,29960.0
"Agincourt South-Malvern West",128.0,"N/A",53886.0,23757.0
"Agincourt North",129.0,"N/A",55893.0,29113.0
"Milliken",130.0,"N/A",55464.0,26572.0
"Rouge",131.0,"N/A",72784.0,46496.0
"Malvern",132.0,"N/A",53425.0,43794.0
"Centennial Scarborough",133.0,"N/A",86816.0,13362.0
"Highland Creek",134.0,"N/A",87321.0,12494.0
"Morningside",135.0,"N/A",50069.0,17455.0
"West Hill",136.0,"N/A",46803.0,27392.0
"Woburn",137.0,"N/A",47908.0,53485.0
"Eglinton East",138.0,"N/A",42790.0,22776.0
"Scarborough Village",139.0,"N/A",40181.0,16724.0
"Guildwood",140.0,"N/A",67678.0,9917.0
